artist,title,year,genre
Red Hot Chili Peppers,Californication,1999,rock / alternative rock
Led Zeppelin,Led Zeppelin,1969,hard rock / blues rock / heavy rock
Oasis,(What's the Story) Morning Glory?,1995,rock / britpop
James Brown,Cold Sweat,1967,funk / soul
John Scofield,Blue Matter,1986,jazz fusion / jazz rock
Michel Petrucciani,Trio in Tokyo (Live),1986,live jazz / post-bop
Jojo Mayer/Nerve,Prohibited Beatz,2000,electronic / drum & bass / jazz fusion
Herbie Hancock Quintet,Live in Vienne (2002),2002,live jazz / post-bop / fusion
The Human League,Crash,1986,synth pop / new wave
Hall & Oates,Big Bam Boom,1984,rock / pop / blue-eyed soul
Al Di Meola,Casino,1978,jazz fusion / world fusion
Mark Egan,Truth Be Told,1995,jazz fusion / contemporary jazz
Gary Husband,The Things I See,1998,jazz fusion
Alan Silvestri,Forrest Gump: The Soundtrack,1994,film score / orchestral
Angelo Badalamenti,Soundtrack from Twin Peaks,1990,film score / ambient / orchestral
Tony Williams,Ego,1971,jazz fusion / avant-garde
Simon Phillips,Protocol,1988,jazz fusion / rock
John Debney,The Passion of the Christ (Soundtrack),2004,film score / orchestral
Eleni Karaindrou / Jan Garbarek / Kim Kashkashian / Vangelis Christopoulos,Concert In Athens (Live In Athens / 2010),2010,contemporary classical / world / ambient
